category,question,answer,source
pay-via-upi,what type of payments can i make with jupiter upi?,"you can send money, pay contacts, scan qr codes at stores, and shop onlinesecurely and instantly.",official
pay-via-upi,do i need to open a jupiter savings account to use upi?,"no, you can use jupiter upi with your existing bank account by linking it on the jupiter app.",official
pay-via-upi,what rewards do i get with my edge csb bank rupay credit card?,you can get 2% cashback on upi & credit card spends with the edge csb bank rupay credit card.,official
pay-via-upi,can i send money to contacts using other upi apps?,absolutely. jupiter lets you send money to anyoneregardless of the upi app they use.,official
pay-via-upi,what is upi lite and how does it work?,"upi lite lets you make small-value payments without entering your upi pin (up to 5,000). its perfect for",official
pay-via-upi,is there a limit on upi transactions?,"to ensure safety of your transactions, npci has set the maximum daily upi payments limit to 1 lakh.",official
bills-recharges,what types of bills can i pay on jupiter?,"you can pay your credit card bills, electricity, dth, broadband, water, gas, mobile prepaid, and moreall in",official
bills-recharges,what payment modes can i use to pay bills on jupiter?,"you can pay bills through bank transfers linked to your federal bank savings account, upi, or your rupay",official
bills-recharges,do i get rewards for bill payments?,yes! you earn jewels for every eligible bill and recharge made with jupiter.,official
bills-recharges,what are jewels and how do they work?,jewels are credits you earn when you make eligible payments with jupiter. you can redeem them in cash for,official
bills-recharges,how do i activate autopay?,"to set up autopay for bills & recharges, use your jupiter upi id as a default payment method on the",official
bills-recharges,do i need to upload any documents or enter bill details manually each time?,"no paperwork needed! just link your billing merchant once, and your dues automatically in the future.",official
bills-recharges,can i track my past payments?,"yes, your entire payment history is available under the bills & recharges section in the app.",official
rewards,how do i earn jewels on jupiter?,"you earn jewels when you spend using jupiterwhether its with upi, your debit card, or linked credit cards.",official
rewards,what can i redeem jewels for?,you can choose from the following loan options:,official
rewards,how fast can i redeem jewels on jupiter?,"yes, you can redeem the jewels instantly. you can convert them to cash, gold, vouchers or use them to get",official
rewards,linked accounts or cards?,yes! for example:,official
rewards,do the earned jewels expire?,"your jewels are safe and redeemable directly on the jupiter app. expiry terms, if any, are clearly shown",official
investments,available on jupiter?,you can invest in the following:,official
investments,account to invest on jupiter?,"yes, you need to open a savings account to invest in mutual funds, magic spends or fixed deposits. but, you",official
investments,mutual funds on jupiter?,"no, jupiter doesn't charge any commissions or extra fees on mutual funds",official
investments,how do no-penalty sips work on jupiter ?,no-penalty sips let you skip sips without having to pay any extra charges,official
investments,what is magic spends and how does it work?,"magic spends lets you auto-invest small amounts (like 10 or more) every time you spend, turning your daily",official
investments,can i withdraw from fixed deposits before maturity?,"yes, flexifd lets you withdraw money in parts without having to break your full fd.",official
investments,is my money safe when i invest on jupiter?,"yes. jupiter partners with trusted amcs, rbi-regulated entities, and sebi-compliant platforms to ensure your",official
jupiter-labs,introducing jupiter labs,"hey everyone!
were introducing
jupiter labs!
this initiative will allow community folks to be a part of early feature testing, design reviews, new flows, and much more!
**
click here to register
**
what happens then?
once you register, well add you to the community jupiter labs group.
we will inform you about what needs to be done, what to test, what to look out for, etc.
you will provide feedback, find bugs if any and share your honest opinion!
note:
the group list will be updated every 14 days and we need as many volunteers as possible.
(very important)
you need to be a part of the community so that we can let you know when the lab tests are ready. this will also allow you to communicate here.
changes to jupiter labs (feb 1st, 2023 update)
weve made few changes to the format of conducting lab tests on the community.
testers will have to review the feature in the comments of the lab test thread in a certain manner.
a certain no. of reviews will be picked for best reviews and testers get rewarded with jewels.
every lab test going forward will have this format,
starting from feb 1st, 2023.
here are some of our live lab tests
-
jupiter labs - jupiter community
this is your chance to build your own bank. your feedback matters. we hear you",forum
jupiter-labs,about the jupiter labs category,"test new/current features, designs review, flows, and much more!
share your feedback, find bugs if any and let us know your honest opinions.
let the testing begin!",forum
jupiter-labs,(new) lab test #15 - credit card tracking,"hi everyone!
were excited to announce the launch of our external credit card tracking feature on jupiter!
now, you can connect your credit cards from all major banks (hdfc, sbi, icici, axis, kotak) to the jupiter app and enjoy features like:
spend categorization for smarter budgeting
personalized financial insights
bill pay reminders
and much more!
everything you need to stay on top of your finances.
ui sneak peek
cvp
360800 41.3 kb
finding ccs
360800 116 kb
finding ccs (1)
360860 105 kb
screenshot 2024-11-12 125304
312618 32.5 kb
track home
10802400 334 kb
early access, test, win jewels
get early access to external credit card tracking on jupiter
you need to register here
-
https://forms.gle/3k15bhgnq44uwy4p7
bug bounty
during the lab test, folks will need to find bugs (hope there arent any
)
folks who find the most critical bugs will be awarded 1250 jewels
each! (we will pick 3 people  for finding the best bugs)
duration
start date: rolling out from 22nd november, 2024 for both
&
end date: 9th december, 2024
make sure you have the latest app version & register on time to get access! -
https://forms.gle/3k15bhgnq44uwy4p7
lets make this feature exceptional together!
@trust_level_0",forum
jupiter-labs,cibil score tracking,please initiate cibil score monitoring.,forum
jupiter-labs,exciting update: introducing the new fund offerings (nfos) on jupiter!,"were thrilled to announce that our latest feature, new fund offerings (nfo), is now live and available for all users!
what is nfo?
a new fund offering (nfo) is like an ipo in the stock market, but for mutual funds. investors can purchase units of a mutual fund as soon as it launches. with an nfo, you can invest in a fund at its inception, getting early access to a promising investment.
why invest in nfos?
early access:
nfo allows you to invest in a fund at its launch price, which can be beneficial if the fund performs well over time.
diverse opportunities:
nfos often introduce innovative strategies, sectors, or themes that might not be available through existing funds, giving you access to fresh and diverse investment opportunities.
potential for high returns:
while all investments come with risks, nfos can deliver substantial returns, especially if the fund manager can capitalize on market trends and opportunities.
strategic investment:
nfos can complement your existing portfolio by adding exposure to new sectors or strategies, helping you to diversify and manage risk more effectively.
ui sneak peeks
screenshot at aug 21 16-49-13
6641348 65.5 kb
screenshot at aug 21 16-50-02
7381358 123 kb
screenshot at aug 21 16-50-23
6381288 231 kb
screenshot at aug 21 16-50-41
6361288 241 kb
how it works
you can follow these steps to invest in an nfo:
navigate to the nfo section:
open your jupiter app and navigate to the invest or mf explore section. there, youll find a dedicated collection for nfos.
explore available nfos:
browse through the list of available nfos. each listing provides detailed information about the fund, helping you make an informed decision.
select and invest:
if you decide to invest, you can invest one-time and/or set up an sip in the nfo. you can make multiple one-time investments in an nfo.
track your nfo investment:
after investing, you can track the status of your transaction in the transaction tab or directly through the nfos collection.
what to check?
while you try out nfos on jupiter, wed love to receive your honest feedback on:
what did you like/dislike about the feature?
any issues that you faced while using it on the app?
any other suggestions to improve the experience?
if youve invested in nfos on another platform, was there something you liked and you would want it to be on jupiter?
where can you get started?
make sure you have the latest app version (3.0.12)
were excited to bring this new feature to you and cant wait to see how you use it to achieve your investment goals. stay tuned for more updates and tips on making the most out of nfos!
happy investing!
@trust_level_0",forum
jupiter-labs,(ongoing) lab test #12 - search bar on home page,"hi lab testers!
thank you for sharing your invaluable feedback for the search bar on the payments tab. your feedback has encouraged us to improve the existing feature as well as bring the search bar to the jupiter app home page with a larger scope.
community a-2
10801080 45.1 kb
how to use it?
this is live on the home page of the jupiter app for folks who had enrolled for
@jupiterlabs
please make sure to update the app to the latest version to try it out.
img_8127-2
8281792 88.1 kb
what to expect from the search bar on homepage?
quick access to any product feature, money insights or information on the jupiter app
from creating pots, making payments to checking your account details, information regarding your bills, balances, etc you can try asking questions related to any product feature on jupiter app.
ask any other jupiter related questions!
hope you have fun trying it out! while you do that wed love to receive your honest feedback on:
what did you like / dislike about the new experience?
any issues that you faced while using it on the app?
any other suggestions to improve the experience?
best reviews get 
we would like to reward jupiter lab testers for their hard work. we like to shape the product with our community folks.
the data science team will pick 5 value adding reviews in the comment section below. the 5 reviewers will be rewarded with 200j each.
note:
you will need to be part of the jupiter labs group in the community.
your review should be in the comments below.
test duration
users registered for jupiter labs on or before march 28th, 2023, will be eligible to test.
the team will announce the results of chosen reviews on april 30th, 2023
this is an ai based feature and hence with time wed expect it to learn with data and get better at solving your queries and requests. wed keep an eye on your feedback.
looking forward to hearing from you!
happy testing!",forum
jupiter-labs,(completed) lab test #14 - pay to contact on jupiter,"@jupiterlabs
, assemble!
were finally live with pay to contact in the jupiter app
this was a long-awaited feature, a lot of folks wanted it, and its here!
to access this, you will need to be on the app version 2.1.4 and above.
cards
32403240 152 kb
navigation
you can quickly access pay to contact on the home page.
1
11701439 68.9 kb
or, you could head over to the payments tab and tap on the icon under money transfer.
2
11702391 127 kb
create your upi number if you havent yet
you can now create a custom upi number that will be linked to your jupiter upi id. use it to receive payments from any upi app.
3
11702532 120 kb
what to test
create your upi number, check the flow, and let us know how it went.
did you face anything during the process? were you able to understand the flow?
try sending it to your friends/family. was the process smooth?
messages received while sending and receiving.
feedback on design and ui in the app.
spoiler alert
were building a common search for all your upi transfers. you can transfer using phone number, upi number, and upi id under 1 page.
would something like this interest you?
yes! i need this.
not at the moment.
0
voters
best reviews get
we would like to reward jupiter lab testers for helping us test the feature.
the payments team will pick 5 value adding reviews in the comment section below. the 5 reviewers will be rewarded with 1000j each. the review could mention critical bug reports if any, suggestions to improve that can change user experience drastically, etc.
note:
you will need to be part of the jupiter labs group in the community / have access to pay to contact.
your review should be in the comments below.
test duration
july 19th, friday to july 31, monday 2023
the team will announce the results of chosen reviews on august 1st, 2023
grab your lab coat and let the testing begin
good luck!
@trust_level_0",forum
jupiter-labs,(completed) lab test #13 - investments tab 2.0,"hi community,
weve been working on revamping the investments dashboard and are happy to introduce the - investment tab 2.0
its our latest investment home screen. this is available to all
@jupiterlabs
users.
2.0
10801080 85 kb
1
6061304 85.9 kb
2
6041298 74.6 kb
what's new?
easy product discovery:
you will be able to easily discover the product offering on the investment home page and quickly navigate through mf explore, gold, and fd.
total current value across investment products:
you will be able to view the total current value on the investment home page. the total current value will be the summation of the current values of mutual funds, gold, and fd.
critical updates and actions:
you will be able to quickly see the updates and action information on the investment home page.
why the change?
monotonous:
investment home page was monotonous - it seemed like a mutual fund explore page rather than an investment home page.
product discovery:
the discovery of fd and digital gold was limited to spotlight cards.
how to get started?
just download app version >= 2.0.15 or update the app to the latest version.
best reviews get 
we would like to reward jupiter lab testers for their hard work. we like to shape the product with our community folks.
the investments team will pick 5 value-adding reviews in the comment section below. the 5 reviewers will be rewarded with 200j each.
note:
you will need to be part of the jupiter labs group in the community.
your review should be in the comments below.
test duration
users registered for jupiter labs on or before march 28th, 2023, will be eligible to test.
the team will announce the results of chosen reviews on april 30th, 2023
looking forward to your feedback!
@trust_level_0",forum
