category,question,answer
jupiter-labs,Introducing Jupiter Labs 🧪,"Hey everyone!
We’re introducing
Jupiter Labs!
This initiative will allow community folks to be a part of early feature testing, design reviews, new flows, and much more!
**
Click here to register
**
What happens then?
Once you register, we’ll add you to the community Jupiter labs group.
We will inform you about what needs to be done, what to test, what to look out for, etc.
You will provide feedback, find bugs if any and share your honest opinion!
Note:
The group list will be updated every 14 days and we need as many volunteers as possible.
(Very important)
You need to be a part of the community so that we can let you know when the lab tests are ready. This will also allow you to communicate here.
Changes to Jupiter labs (Feb 1st, 2023 update)
We’ve made few changes to the format of conducting lab tests on the Community.
Testers will have to review the feature in the comments of the lab test thread in a certain manner.
A certain no. of reviews will be picked for best reviews and testers get rewarded with Jewels.
Every lab test going forward will have this format,
Starting from Feb 1st, 2023.
Here are some of our live lab tests
-
Jupiter labs - Jupiter Community
This is your chance to build your own bank. Your feedback matters. We hear you"
jupiter-labs,About the Jupiter labs category,"Test new/current features, designs review, flows, and much more!
Share your feedback, find bugs if any and let us know your honest opinions.
Let the testing begin!"
jupiter-labs,(New) Lab test #15 - Credit Card tracking 💳,"Hi everyone!
We’re excited to announce the launch of our External Credit Card Tracking feature on Jupiter!
Now, you can connect your credit cards from all major banks (HDFC, SBI, ICICI, AXIS, KOTAK) to the Jupiter app and enjoy features like:
Spend categorization for smarter budgeting
Personalized financial insights
Bill pay reminders
And much more!
Everything you need to stay on top of your finances.
UI sneak peek
CVP
360×800 41.3 KB
Finding CCs
360×800 116 KB
Finding CCs (1)
360×860 105 KB
Screenshot 2024-11-12 125304
312×618 32.5 KB
Track Home
1080×2400 334 KB
Early access, test, win jewels
Get early access to External Credit Card tracking on Jupiter
You need to register here
-
https://forms.gle/3k15BhGnQ44UWy4P7
Bug bounty
During the lab test, folks will need to find bugs (hope there aren’t any
)
Folks who find the most critical bugs will be awarded 1250 Jewels
each! (We will pick 3 people  for finding the best bugs)
Duration
Start date: Rolling out from 22nd November, 2024 for both
&
End date: 9th December, 2024
Make sure you have the latest app version & register on time to get access! -
https://forms.gle/3k15BhGnQ44UWy4P7
Let’s make this feature exceptional together!
@trust_level_0"
jupiter-labs,CIBIL SCORE Tracking,Please initiate CIBIL score monitoring.
jupiter-labs,Exciting Update: Introducing the New Fund Offerings (NFOs) on Jupiter!,"We’re thrilled to announce that our latest feature, New Fund Offerings (NFO), is now live and available for all users!
What is NFO?
A New Fund Offering (NFO) is like an IPO in the stock market, but for Mutual Funds. Investors can purchase units of a Mutual Fund as soon as it launches. With an NFO, you can invest in a fund at its inception, getting early access to a promising investment.
Why Invest in NFOs?
Early Access:
NFO allows you to invest in a fund at its launch price, which can be beneficial if the fund performs well over time.
Diverse Opportunities:
NFOs often introduce innovative strategies, sectors, or themes that might not be available through existing funds, giving you access to fresh and diverse investment opportunities.
Potential for High Returns:
While all investments come with risks, NFOs can deliver substantial returns, especially if the fund manager can capitalize on market trends and opportunities.
Strategic Investment:
NFOs can complement your existing portfolio by adding exposure to new sectors or strategies, helping you to diversify and manage risk more effectively.
UI Sneak peeks
Screenshot at Aug 21 16-49-13
664×1348 65.5 KB
Screenshot at Aug 21 16-50-02
738×1358 123 KB
Screenshot at Aug 21 16-50-23
638×1288 231 KB
Screenshot at Aug 21 16-50-41
636×1288 241 KB
How It works
You can follow these steps to invest in an NFO:
Navigate to the NFO Section:
Open your Jupiter app and navigate to the “Invest” or “MF Explore” section. There, you’ll find a dedicated collection for NFOs.
Explore Available NFOs:
Browse through the list of available NFOs. Each listing provides detailed information about the fund, helping you make an informed decision.
Select and Invest:
If you decide to invest, you can invest One-time and/or set up an SIP in the NFO. You can make multiple one-time investments in an NFO.
Track your NFO investment:
After investing, you can track the status of your transaction in the Transaction Tab or directly through the NFOs collection.
What to check?
While you try out NFOs on Jupiter, we’d love to receive your honest feedback on:
What did you like/dislike about the feature?
Any issues that you faced while using it on the app?
Any other suggestions to improve the experience?
If you’ve invested in NFOs on another platform, was there something you liked and you would want it to be on Jupiter?
Where can you get started?
Make sure you have the latest app version (3.0.12)
We’re excited to bring this new feature to you and can’t wait to see how you use it to achieve your investment goals. Stay tuned for more updates and tips on making the most out of NFOs!
Happy investing!
@trust_level_0"
jupiter-labs,(Ongoing) Lab test #12 - Search bar on Home Page 🔎,"Hi Lab testers!
Thank you for sharing your invaluable feedback for the Search bar on the Payments tab. Your feedback has encouraged us to improve the existing feature as well as bring the Search bar to the Jupiter App Home Page with a larger scope.
Community A-2
1080×1080 45.1 KB
How to use it?
This is live on the Home Page of the Jupiter App for folks who had enrolled for
@Jupiterlabs
Please make sure to update the app to the latest version to try it out.
IMG_8127-2
828×1792 88.1 KB
What to expect from the Search bar on Homepage?
Quick access to any product feature, money insights or information on the Jupiter App
From creating pots, making payments to checking your account details, information regarding your bills, balances, etc you can try asking questions related to any product feature on Jupiter App.
Ask any other Jupiter related questions!
Hope you have fun trying it out! While you do that we’d love to receive your honest feedback on:
What did you like / dislike about the new experience?
Any issues that you faced while using it on the app?
Any other suggestions to improve the experience?
Best reviews get 🎁
We would like to reward Jupiter lab testers for their hard work. We like to shape the product with our Community folks.
The data science team will pick 5 value adding reviews in the comment section below. The 5 reviewers will be rewarded with 200j each.
Note:
You will need to be part of the Jupiter labs group in the Community.
Your review should be in the comments below.
Test duration
Users registered for Jupiter labs on or before March 28th, 2023, will be eligible to test.
The team will announce the results of chosen reviews on April 30th, 2023
This is an AI based feature and hence with time we’d expect it to learn with data and get better at solving your queries and requests. We’d keep an eye on your feedback.
Looking forward to hearing from you!
Happy testing!"
jupiter-labs,(Completed) Lab test #14 - Pay to Contact on Jupiter 📞,"@Jupiterlabs
, assemble!
We’re finally live with Pay to Contact in the Jupiter app
This was a long-awaited feature, a lot of folks wanted it, and it’s here!
To access this, you will need to be on the app version 2.1.4 and above.
Cards
3240×3240 152 KB
Navigation
You can quickly access Pay to Contact on the home page.
1
1170×1439 68.9 KB
Or, you could head over to the payments tab and tap on the icon under Money transfer.
2
1170×2391 127 KB
Create your UPI Number if you haven’t yet
You can now create a custom UPI number that will be linked to your Jupiter UPI ID. Use it to receive payments from any UPI app.
3
1170×2532 120 KB
What to test
Create your UPI number, check the flow, and let us know how it went.
Did you face anything during the process? Were you able to understand the flow?
Try sending it to your friends/family. Was the process smooth?
Messages received while sending and receiving.
Feedback on Design and UI in the app.
Spoiler alert
We’re building a common search for all your UPI transfers. You can transfer using phone number, UPI number, and UPI ID under 1 page.
Would something like this interest you?
Yes! I need this.
Not at the moment.
0
voters
Best reviews get
We would like to reward Jupiter lab testers for helping us test the feature.
The Payments team will pick 5 value adding reviews in the comment section below. The 5 reviewers will be rewarded with 1000j each. The review could mention critical bug reports if any, suggestions to improve that can change user experience drastically, etc.
Note:
You will need to be part of the Jupiter labs group in the Community / have access to Pay to Contact.
Your review should be in the comments below.
Test duration
July 19th, Friday to July 31, Monday 2023
The team will announce the results of chosen reviews on August 1st, 2023
Grab your lab coat and let the testing begin
Good luck!
@trust_level_0"
jupiter-labs,(Completed) Lab test #13 - Investments tab 2.0,"Hi Community,
We’ve been working on revamping the investments dashboard and are happy to introduce the - Investment tab 2.0
It’s our latest investment home screen. This is available to all
@Jupiterlabs
users.
2.0
1080×1080 85 KB
1
606×1304 85.9 KB
2
604×1298 74.6 KB
What's new?
Easy product discovery:
You will be able to easily discover the product offering on the Investment home page and quickly navigate through MF Explore, Gold, and FD.
Total current value across investment products:
You will be able to view the total current value on the investment Home page. The total current value will be the summation of the current values of Mutual Funds, Gold, and FD.
Critical updates and actions:
You will be able to quickly see the updates and action information on the Investment Home page.
Why the change?
Monotonous:
Investment home page was monotonous - it seemed like a mutual fund explore page rather than an Investment Home page.
Product discovery:
The discovery of FD and Digital gold was limited to spotlight cards.
How to get started?
Just download app version >= 2.0.15 or update the app to the latest version.
Best reviews get 🎁
We would like to reward Jupiter lab testers for their hard work. We like to shape the product with our Community folks.
The Investments team will pick 5 value-adding reviews in the comment section below. The 5 reviewers will be rewarded with 200j each.
Note:
You will need to be part of the Jupiter Labs group in the Community.
Your review should be in the comments below.
Test duration
Users registered for Jupiter Labs on or before March 28th, 2023, will be eligible to test.
The team will announce the results of chosen reviews on April 30th, 2023
Looking forward to your feedback!
@trust_level_0"
jupiter-labs,(Completed) Phone number update - Initial testing 📱,"Hello!
As you all know, we are working on a feature that can change your mobile number. It’s been going on for a long time. There were many complications and hurdles along the way, we apologize for the delay
It's closer than ever!
We are going to launch the feature soon. But first, we would like to test the flow with some community users who are interested in changing their Jupiter account mobile number.
How is this going to work?
You will need to register for the test here -
https://forms.gle/91tWS3hWzCu22dup6
80-100 odd folks will be contacted for changing their mobile numbers.
You will be invited for a quick phone call/Google Meet/Zoom call for 10-15 minutes with the Jupiter team. We can decide on a common time.
Instructions will be given on the call, you will need to perform certain tasks for this to work.
Note:
Please opt for this
only if you want to change
your mobile number permanently.
The number may/may not be changed. It’s a simple test to see if this flow works. There won’t be any side effects, don’t worry.
Excited to test the new flow with you folks!
Can’t wait"
jupiter-labs,(Completed) Lab test #11 - Fixed Deposits on Jupiter 💰,"Hello, Lab testers!
I am super excited to announce the launch of Fixed Deposits feature for Jupiter!
After multiple user interviews and speaking to many Community members, we’ve built the first version of FDs.
715×358 46.7 KB
What are Fixed Deposits?
This is one investment that is super simple!
You park your money with a bank for a fixed period of time and you get paid a fixed return for it. We’ve partnered with Federal Bank to bring you fixed deposits with returns up to 7.25% annually.
Navigation for Fixed Deposits
Launch the app > Home page > Investments tab > Fixed Deposits icon
529×552 21.5 KB
Access and Eligibility
This will be available for FKYC users only, with an early access period for our Jupiter Labs members. The product is available from app version 2.0.8 onwards.
If you can’t see it yet, let us know in the comments below.
Review FDs and get rewarded!
From this lab test onwards, we would like to reward Jupiter lab testers for their hard work. We like to shape the product with our Community folks.
The Investments & Community team will pick 5 value adding reviews in the comment section below. The 5 reviewers will be rewarded with 200j each.
Note:
You will need to be part of the Jupiter labs group in the Community.
Your review should be in the comments below.
Test duration
Users registered for Jupiter labs on or before
Feb 17th, 2023
Feb 23rd, 2023, will be eligible to test FDs.
The team will announce the results of chosen reviews on February 24th, 2023
The winners have been chosen!
How to write the review while you test?
How did you like the UX?
Is the interaction intuitive and smooth?
Any issues/bugs/challenges along the way
Comparing to other apps and sharing what can be done better gets preferred here!
Did you notice anything else? Let us know your thoughts!
Joining Jupiter labs
If you aren’t part of Jupiter labs yet, here’s how you can join the testing group -
Introducing Jupiter Labs 🧪
Once submitted, the team would take a week or less to enable the feature for you to test. You will be notified on the Community once you get added.
Happy testing folks and Good Luck!
@Jupiterlabs"
